ID,GHS_Hazard_Codes,GHS_Precautionary_Statements,GHS_Pictograms,GHS_SignalWord,ImageURL
10G-963,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/10G-963.png
10H-944,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/10H-944.png
10N-085,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/10N-085.png
11E-386S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11E-386S.png
11K-901,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11K-901.png
11L-312S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11L-312S.png
11L-313S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11L-313S.png
11N-067,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11N-067.png
11N-812,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/11N-812.png
12L-341S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/12L-341S.png
1G-010,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/1G-010.png
1Y-0616,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/1Y-0616.png
1Y-0622,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/1Y-0622.png
3E-323S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/3E-323S.png
3R-0040,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/3R-0040.png
4G-902,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/4G-902.png
4G-918,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/4G-918.png
4M-309S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/4M-309S.png
5T-0205,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/5T-0205.png
6L-585S,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/6L-585S.png
6P-065,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/6P-065.png
6T-0058,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/6T-0058.png
6W-0841,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/6W-0841.png
6W-0842,"H302,H312,H332","P260,P270,P280,P402 + P404",GHS07,Warning,http://www.keyorganics.net/bionet/media/catalog/product/images300x200/6W-0842.png
